customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-00022,Female,1,No,No,53,No,Yes,DSL,No,Yes,Yes,Yes,No,No internet service,One year,No,Credit card,72.76,3920.32,No
CUST-00023,Female,0,No,No,9,Yes,No,Fiber optic,Yes,Yes,No internet service,No,Yes,Yes,Month-to-month,No,Electronic check,75.23,720.73,Yes
CUST-00024,Female,0,Yes,No,41,Yes,Yes,DSL,Yes,No internet service,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,57.16,2352.8,Yes
CUST-00025,Female,0,Yes,Yes,63,Yes,Yes,Fiber optic,Yes,Yes,No,No internet service,No internet service,No,Month-to-month,Yes,Mailed check,45.41,2952.43,Yes
CUST-00026,Female,0,Yes,Yes,20,Yes,No,Fiber optic,No internet service,Yes,No,No internet service,Yes,Yes,Month-to-month,Yes,Electronic check,84.51,,Yes
CUST-00027,Female,0,Yes,Yes,65,Yes,No,Fiber optic,No,No internet service,Yes,No internet service,No,No,One year,Yes,Mailed check,31.74,2068.74,No
CUST-00028,Female,0,Yes,No,40,Yes,No,DSL,No,Yes,No internet service,No internet service,Yes,No,Month-to-month,No,Mailed check,70.9,2888.51,No
CUST-00029,Female,1,Yes,No,23,Yes,Yes,Fiber optic,Yes,No,Yes,No internet service,No,Yes,One year,No,Mailed check,96.34,2224.16,No
CUST-00030,Male,0,Yes,Yes,34,No,Yes,DSL,No internet service,No internet service,Yes,Yes,No internet service,No,One year,No,Electronic check,34.76,1265.57,Yes
CUST-00031,Male,1,No,Yes,55,Yes,No phone service,Fiber optic,Yes,No,Yes,Yes,No internet service,Yes,Month-to-month,Yes,Bank transfer,94.83,5276.95,Yes
CUST-00032,Female,1,Yes,Yes,29,Yes,No phone service,Fiber optic,No,Yes,No internet service,No internet service,Yes,No,Month-to-month,Yes,Mailed check,95.6,2789.64,No
CUST-00033,Female,0,Yes,No,56,Yes,No,No,No internet service,Yes,Yes,No internet service,Yes,Yes,One year,Yes,Bank transfer,24.11,1352.23,No
CUST-00034,Female,0,No,Yes,46,Yes,No phone service,No,Yes,No internet service,No,Yes,Yes,No,Month-to-month,No,Credit card,19.92,919.48,Yes
CUST-00035,Male,1,Yes,Yes,34,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,117.34,4040.3,No
CUST-00036,Female,0,Yes,No,18,Yes,No phone service,DSL,No internet service,No internet service,No,Yes,No internet service,No,Month-to-month,Yes,Electronic check,37.73,752.58,Yes
CUST-00037,Male,0,No,No,7,Yes,Yes,DSL,No,No internet service,No internet service,Yes,Yes,No,One year,Yes,Bank transfer,101.86,725.1,Yes
CUST-00038,Male,0,Yes,No,25,Yes,No,Fiber optic,No internet service,No internet service,Yes,Yes,Yes,No,One year,No,Credit card,75.31,1904.88,No
CUST-00039,Male,0,Yes,Yes,70,No,No,Fiber optic,Yes,No internet service,No internet service,Yes,Yes,Yes,Month-to-month,No,Credit card,44.98,3181.33,No
CUST-00040,Male,1,Yes,No,29,Yes,Yes,Fiber optic,Yes,No internet service,Yes,Yes,No,No internet service,Month-to-month,No,Mailed check,31.26,928.35,Yes
CUST-00041,Male,0,No,No,6,Yes,No phone service,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,68.66,451.09,No
CUST-00042,Female,0,Yes,Yes,66,Yes,No,DSL,Yes,No internet service,Yes,No internet service,Yes,No,Two year,Yes,Credit card,59.55,3986.26,No
CUST-00043,Female,0,Yes,No,64,Yes,No,Fiber optic,No,No,Yes,No internet service,No,Yes,Month-to-month,Yes,Credit card,89.29,5783.05,Yes
CUST-00044,Female,0,No,Yes,35,Yes,No phone service,Fiber optic,No,Yes,Yes,No,No,No,Two year,Yes,Mailed check,110.23,3954.43,No
CUST-00045,Female,0,Yes,Yes,24,No,No phone service,No,Yes,No internet service,No internet service,No internet service,Yes,No,Month-to-month,No,Mailed check,100.14,2496.44,Yes
CUST-00046,Female,0,No,No,36,Yes,Yes,Fiber optic,No,Yes,Yes,No internet service,Yes,No,One year,No,Bank transfer,45.99,1712.65,No
CUST-00047,Male,0,No,No,0,Yes,No phone service,Fiber optic,No,No internet service,Yes,No internet service,No,No,Month-to-month,No,Electronic check,107.65,73.42,Yes
CUST-00048,Female,0,Yes,No,14,Yes,No phone service,Fiber optic,No,No,Yes,No,No internet service,No internet service,One year,Yes,Credit card,103.01,1537.23,Yes
CUST-00049,Female,0,No,No,36,Yes,No phone service,DSL,Yes,No,No internet service,No,No,No internet service,Month-to-month,No,Bank transfer,112.77,4068.07,Yes
CUST-00050,Male,0,No,No,12,Yes,Yes,No,No internet service,No,No internet service,No internet service,No internet service,No,One year,No,Electronic check,64.78,777.92,No
CUST-00051,Female,1,Yes,No,7,Yes,Yes,Fiber optic,No internet service,Yes,No internet service,No internet service,Yes,No,Month-to-month,No,Bank transfer,96.39,677.71,Yes
CUST-00052,Male,0,No,Yes,4,Yes,No,Fiber optic,No internet service,No internet service,Yes,No internet service,Yes,No,Month-to-month,No,Electronic check,78.35,369.73,Yes
CUST-00053,Female,0,No,Yes,59,Yes,Yes,No,Yes,Yes,No,Yes,No internet service,No internet service,Month-to-month,No,Electronic check,49.67,3006.81,No
CUST-00054,Male,1,Yes,No,0,Yes,No,Fiber optic,No,No,No,Yes,No,No internet service,Two year,Yes,Credit card,119.43,36.71,No
CUST-00055,Female,0,Yes,Yes,35,Yes,No phone service,DSL,No,Yes,No,Yes,Yes,Yes,One year,No,Electronic check,21.91,821.37,No
CUST-00056,Female,0,Yes,No,34,Yes,No,Fiber optic,Yes,No,Yes,No,No internet service,Yes,Month-to-month,No,Mailed check,34.55,1226.34,Yes
CUST-00057,Male,0,No,Yes,65,Yes,No,DSL,Yes,No,No,No internet service,No,No,One year,Yes,Credit card,109.04,7097.08,No
CUST-00058,Male,0,Yes,Yes,62,Yes,No phone service,DSL,No internet service,No,No,No,No internet service,No,One year,Yes,Mailed check,24.18,1531.32,No
CUST-00059,Male,0,No,Yes,22,Yes,No,Fiber optic,No internet service,No internet service,No,No,No,No internet service,Two year,No,Bank transfer,108.46,2388.06,Yes
CUST-00060,Male,0,No,No,8,Yes,Yes,No,Yes,No internet service,Yes,No,No,No,Two year,No,Bank transfer,90.95,738.67,No
CUST-00061,Male,0,No,Yes,33,Yes,Yes,DSL,No internet service,No,No,No internet service,No,No,One year,No,Electronic check,21.74,798.61,No
CUST-00062,Male,0,No,No,45,Yes,Yes,No,No,Yes,No,Yes,No,No internet service,Month-to-month,No,Electronic check,61.79,2863.49,No
CUST-00063,Male,0,No,Yes,3,Yes,Yes,Fiber optic,Yes,Yes,Yes,No internet service,No internet service,No internet service,One year,Yes,Mailed check,94.96,365.07,No
CUST-00064,Male,0,No,Yes,29,Yes,No,DSL,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,77.48,2319.6,Yes
CUST-00065,Female,0,No,Yes,71,Yes,No,Fiber optic,No,No,No,No,No internet service,No internet service,Two year,Yes,Mailed check,113.46,8134.99,No
CUST-00066,Female,0,Yes,Yes,2,No,No phone service,No,No,Yes,No internet service,No,No internet service,Yes,Month-to-month,No,Bank transfer,106.5,280.1,No
CUST-00067,Male,0,Yes,Yes,13,Yes,No,Fiber optic,No,No,No,No,No internet service,No internet service,Month-to-month,No,Mailed check,51.93,742.07,Yes
CUST-00068,Female,1,No,No,59,No,No,Fiber optic,No internet service,Yes,Yes,Yes,No,No internet service,Month-to-month,No,Credit card,26.63,1637.91,Yes
CUST-00069,Female,0,No,No,44,Yes,No,DSL,Yes,No internet service,No internet service,Yes,Yes,No,One year,Yes,Credit card,114.31,5081.04,No
CUST-00070,Female,0,Yes,Yes,33,Yes,No phone service,Fiber optic,No internet service,No,No internet service,Yes,Yes,No,Two year,No,Bank transfer,70.76,2371.41,No
CUST-00071,Female,0,No,Yes,44,Yes,Yes,Fiber optic,No,No,No internet service,No internet service,No internet service,No,Month-to-month,No,Mailed check,25.59,1198.98,No
CUST-00072,Male,0,Yes,Yes,60,Yes,No,Fiber optic,No internet service,Yes,No internet service,No,No internet service,Yes,One year,Yes,Mailed check,101.29,6107.26,No
CUST-00073,Female,0,Yes,Yes,15,No,No phone service,DSL,No,Yes,No,No internet service,Yes,No internet service,One year,No,Electronic check,106.59,1653.14,Yes
CUST-00074,Male,1,Yes,No,65,Yes,No phone service,No,No internet service,Yes,No,Yes,No,No internet service,One year,Yes,Credit card,83.22,5452.64,No
CUST-00075,Female,1,No,Yes,39,Yes,No phone service,No,No internet service,No,No internet service,No,No internet service,Yes,Month-to-month,No,Bank transfer,63.65,2510.01,Yes
CUST-00076,Female,0,No,No,16,Yes,Yes,Fiber optic,No,No internet service,No,Yes,No,No internet service,Two year,Yes,Mailed check,85.54,1466.11,No
CUST-00077,Female,1,Yes,Yes,33,No,No,DSL,No internet service,No internet service,No internet service,No,Yes,No,Month-to-month,Yes,Electronic check,90.08,2998.52,Yes
CUST-00078,Male,0,Yes,No,15,Yes,No phone service,Fiber optic,Yes,Yes,No internet service,No,Yes,Yes,One year,Yes,Bank transfer,109.09,1667.28,Yes
CUST-00079,Female,0,Yes,Yes,59,Yes,Yes,No,No internet service,No internet service,Yes,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer,115.5,6830.66,No
CUST-00080,Male,0,Yes,Yes,65,Yes,No phone service,DSL,No internet service,Yes,No internet service,No internet service,No,Yes,Month-to-month,Yes,Credit card,70.46,4662.2,No
CUST-00081,Female,1,Yes,No,65,Yes,No phone service,No,Yes,No internet service,No,Yes,No internet service,Yes,Two year,Yes,Mailed check,99.45,6522.91,No
CUST-00082,Male,0,No,Yes,12,Yes,No phone service,No,No,No,No internet service,No internet service,Yes,No internet service,Month-to-month,No,Bank transfer,116.38,1457.86,No
CUST-00083,Female,0,Yes,Yes,55,Yes,No phone service,DSL,Yes,Yes,Yes,No internet service,No,No,Month-to-month,Yes,Electronic check,33.43,1920.71,Yes
CUST-00084,Male,0,No,Yes,30,Yes,No phone service,DSL,No internet service,No internet service,No,No internet service,No internet service,No internet service,One year,No,Electronic check,19.86,630.09,Yes
CUST-00085,Male,0,Yes,No,33,Yes,Yes,Fiber optic,No,No,Yes,No,No internet service,No internet service,Month-to-month,No,Bank transfer,106.63,3538.15,Yes
CUST-00086,Female,0,No,Yes,38,Yes,No,Fiber optic,No internet service,No internet service,Yes,No internet service,No internet service,No,Month-to-month,Yes,Electronic check,37.92,1460.8,Yes
CUST-00087,Male,0,No,Yes,66,No,No,No,No internet service,No,No internet service,Yes,Yes,No internet service,Month-to-month,Yes,Bank transfer,22.33,1547.04,Yes
CUST-00088,Female,0,No,No,7,Yes,No,DSL,Yes,No,Yes,No,No internet service,No internet service,Month-to-month,No,Electronic check,34.33,301.72,Yes
CUST-00089,Female,0,No,No,54,Yes,No,DSL,Yes,No internet service,Yes,No,No,No internet service,Month-to-month,Yes,Bank transfer,57.18,3108.35,Yes
CUST-00090,Female,0,No,No,26,Yes,Yes,Fiber optic,No,No internet service,No,No internet service,No internet service,Yes,Month-to-month,Yes,Bank transfer,40.37,1064.13,No
CUST-00091,Female,0,No,Yes,52,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Two year,Yes,Bank transfer,49.14,2567.35,No
CUST-00092,Female,0,Yes,Yes,38,Yes,Yes,No,No,No,No internet service,Yes,No internet service,Yes,Month-to-month,Yes,Electronic check,117.48,4527.02,Yes
CUST-00093,Female,0,No,Yes,64,Yes,No phone service,Fiber optic,No internet service,No,No internet service,Yes,Yes,No internet service,Month-to-month,No,Bank transfer,89.85,5750.41,Yes
CUST-00094,Female,1,Yes,No,16,Yes,No phone service,DSL,Yes,Yes,No internet service,No,Yes,No,Month-to-month,No,Credit card,90.64,1452.07,No
CUST-00095,Female,0,No,Yes,29,No,No phone service,Fiber optic,Yes,No,Yes,No internet service,No,Yes,Month-to-month,Yes,Bank transfer,27.66,841.1,Yes
CUST-00096,Female,0,No,Yes,52,Yes,No,Fiber optic,Yes,Yes,No,No internet service,No,No,One year,No,Mailed check,92.67,4887.97,No
CUST-00097,Female,0,Yes,No,12,No,No phone service,Fiber optic,No,No,No internet service,No,No internet service,No internet service,One year,Yes,Mailed check,93.41,1190.42,No
CUST-00098,Female,0,No,No,20,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card,85.29,1748.81,No
CUST-00099,Male,0,Yes,No,18,Yes,No phone service,DSL,Yes,No,No internet service,No,Yes,No internet service,Month-to-month,Yes,Bank transfer,41.3,812.51,No
CUST-00100,Male,0,Yes,No,52,Yes,No,Fiber optic,Yes,No,No internet service,No internet service,No,No,Month-to-month,Yes,Mailed check,61.15,3231.91,Yes
CUST-00101,Female,0,Yes,No,18,Yes,No phone service,DSL,No,No,No,No internet service,No,Yes,One year,No,Bank transfer,104.32,1975.45,No
CUST-00102,Female,0,Yes,Yes,56,Yes,No phone service,Fiber optic,Yes,No internet service,No internet service,No,No internet service,Yes,One year,Yes,Mailed check,86.36,4852.41,No
CUST-00103,Female,0,No,No,24,Yes,Yes,No,No,No internet service,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,92.74,2285.83,No
CUST-00104,Female,0,No,Yes,30,Yes,No phone service,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,77.91,2386.42,Yes
CUST-00105,Female,0,Yes,Yes,54,Yes,No phone service,No,Yes,Yes,No internet service,Yes,No internet service,No,One year,No,Credit card,63.86,3467.89,No
CUST-00106,Female,0,No,No,22,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card,95.42,2174.24,Yes
CUST-00107,Female,0,No,No,31,Yes,No,Fiber optic,No,No,Yes,No,Yes,No internet service,Two year,No,Bank transfer,24.93,800.38,No
CUST-00108,Female,0,Yes,No,61,Yes,Yes,Fiber optic,No,No internet service,Yes,No,No,Yes,Month-to-month,No,Credit card,86.66,,No
CUST-00109,Male,0,No,Yes,9,No,Yes,DSL,Yes,Yes,No internet service,Yes,No internet service,No,Month-to-month,Yes,Bank transfer,119.71,1114.87,No
CUST-00110,Female,0,Yes,No,71,Yes,No,No,No internet service,No internet service,No,Yes,No,Yes,Month-to-month,No,Electronic check,97.58,6952.6,No
CUST-00111,Male,0,Yes,No,53,Yes,No phone service,DSL,No,Yes,No internet service,Yes,No internet service,No,One year,Yes,Electronic check,47.64,2567.99,No
CUST-00112,Female,0,No,No,51,Yes,No,DSL,No,No,Yes,Yes,Yes,No,Two year,No,Mailed check,46.34,2410.67,Yes
CUST-00113,Female,0,No,No,19,Yes,No phone service,Fiber optic,Yes,No internet service,No,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer,86.06,1709.56,Yes
CUST-00114,Male,1,No,No,31,Yes,No phone service,No,No internet service,Yes,Yes,No,No internet service,Yes,Month-to-month,No,Electronic check,109.38,3467.29,No
CUST-00115,Female,1,Yes,Yes,13,No,No,Fiber optic,Yes,No,No,Yes,No internet service,Yes,Month-to-month,Yes,Electronic check,76.95,,Yes
CUST-00116,Male,0,Yes,Yes,49,Yes,Yes,DSL,No,No,No internet service,No,No internet service,Yes,Month-to-month,No,Bank transfer,71.8,,No
CUST-00117,Female,0,No,Yes,27,Yes,No,Fiber optic,No,No,No,Yes,No internet service,No internet service,Month-to-month,Yes,Mailed check,34.36,1017.34,Yes
CUST-00118,Female,0,No,No,52,Yes,No phone service,No,Yes,No internet service,No internet service,No,No,No internet service,One year,Yes,Mailed check,90.98,4741.84,No
CUST-00119,Male,0,No,No,23,Yes,No,Fiber optic,Yes,No internet service,Yes,No,No internet service,No,Month-to-month,Yes,Mailed check,89.63,2108.78,Yes
CUST-00120,Female,0,No,No,21,Yes,No,No,No internet service,No,No,Yes,No internet service,No,Month-to-month,No,Mailed check,116.63,2524.27,Yes
CUST-00121,Male,0,Yes,Yes,29,Yes,No phone service,No,No internet service,No internet service,Yes,Yes,Yes,No,One year,No,Electronic check,48.62,1471.13,No
CUST-00122,Female,0,No,No,62,Yes,Yes,Fiber optic,No,Yes,No,No,No internet service,No internet service,Month-to-month,No,Bank transfer,95.16,5909.98,Yes
CUST-00123,Male,0,Yes,No,3,Yes,No,DSL,No internet service,No,No internet service,No,Yes,No internet service,Month-to-month,No,Bank transfer,62.27,226.47,Yes
CUST-00124,Male,0,Yes,No,58,Yes,No phone service,Fiber optic,No internet service,No,No,No,No,No internet service,Month-to-month,No,Electronic check,74.96,4398.4,No
CUST-00125,Female,0,No,Yes,7,Yes,No phone service,DSL,No,No internet service,No,No internet service,No,No,Two year,No,Electronic check,101.28,808.54,No
CUST-00126,Female,0,No,No,11,No,No,DSL,No,No,No internet service,Yes,No internet service,No internet service,One year,No,Electronic check,40.64,,No
CUST-00127,Male,0,No,Yes,30,Yes,Yes,Fiber optic,No,Yes,No internet service,No internet service,No,No,Month-to-month,Yes,Credit card,52.97,1687.34,Yes
CUST-00128,Female,0,Yes,No,33,Yes,No,DSL,No,No internet service,No internet service,No internet service,No internet service,No,Month-to-month,No,Bank transfer,96.88,3234.65,Yes
CUST-00129,Female,0,No,Yes,48,Yes,Yes,DSL,Yes,No internet service,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer,76.19,3677.15,No
CUST-00130,Female,0,No,Yes,56,Yes,Yes,Fiber optic,No,No,Yes,Yes,No internet service,Yes,One year,Yes,Bank transfer,27.43,1577.49,No
CUST-00131,Male,1,Yes,Yes,25,Yes,Yes,Fiber optic,No,No,No,No internet service,No internet service,Yes,One year,No,Mailed check,61.88,1608.4,Yes
CUST-00132,Male,0,No,No,17,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Two year,No,Electronic check,77.84,1344.63,No
CUST-00133,Male,0,Yes,No,37,Yes,No,DSL,No internet service,No internet service,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,110.77,4127.63,No
CUST-00134,Male,0,No,Yes,49,Yes,No phone service,No,No,No,No internet service,No,Yes,Yes,Two year,Yes,Electronic check,37.23,1909.72,No
CUST-00135,Male,0,Yes,Yes,7,Yes,No phone service,DSL,Yes,Yes,No,No internet service,Yes,Yes,Two year,No,Credit card,100.21,801.37,Yes
CUST-00136,Male,0,No,No,40,Yes,No phone service,No,Yes,No,Yes,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer,31.32,1284.62,No
CUST-00137,Male,0,No,No,5,Yes,No phone service,Fiber optic,No,No,No internet service,Yes,No,No,One year,Yes,Electronic check,42.71,228.44,Yes
CUST-00138,Male,0,Yes,Yes,68,Yes,No phone service,No,Yes,No internet service,No internet service,Yes,No internet service,Yes,Month-to-month,Yes,Credit card,42.82,2991.08,Yes
CUST-00139,Male,0,Yes,No,43,Yes,No phone service,Fiber optic,No internet service,No,No,No internet service,Yes,No internet service,Month-to-month,Yes,Electronic check,107.5,4682.55,No
CUST-00140,Female,0,No,No,63,Yes,No,Fiber optic,No,No internet service,No internet service,No internet service,Yes,No internet service,Month-to-month,No,Mailed check,38.3,2422.94,Yes
CUST-00141,Male,0,Yes,No,28,No,Yes,No,Yes,No,No internet service,No,No,No internet service,Month-to-month,No,Bank transfer,98.27,2846.24,No
CUST-00142,Female,0,Yes,No,27,Yes,No phone service,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Credit card,65.1,1765.5,No
CUST-00143,Female,0,Yes,Yes,10,Yes,No,No,No,Yes,Yes,Yes,No internet service,No internet service,One year,Yes,Electronic check,119.91,1261.64,No
CUST-00144,Female,0,Yes,No,64,Yes,No phone service,Fiber optic,Yes,No internet service,No internet service,No,No internet service,No,Two year,Yes,Bank transfer,103.59,6672.15,No
CUST-00145,Male,1,No,No,18,No,No phone service,DSL,No,No internet service,Yes,Yes,No internet service,No internet service,Month-to-month,No,Credit card,93.45,1737.76,Yes
CUST-00146,Male,0,No,Yes,8,Yes,Yes,DSL,Yes,No,No internet service,Yes,No internet service,No internet service,Month-to-month,No,Bank transfer,106.81,875.8,Yes
CUST-00147,Male,0,Yes,Yes,26,Yes,Yes,Fiber optic,No internet service,No,No,Yes,No internet service,No internet service,One year,Yes,Bank transfer,82.67,2218.23,Yes
CUST-00148,Male,0,Yes,No,33,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No internet service,Month-to-month,Yes,Mailed check,104.05,3529.62,No
CUST-00149,Female,0,Yes,No,43,Yes,No phone service,No,Yes,No,No internet service,No internet service,No internet service,No,Month-to-month,Yes,Bank transfer,44.63,1964.93,Yes
CUST-00150,Male,0,Yes,No,67,Yes,No phone service,DSL,No,Yes,No internet service,No internet service,Yes,Yes,Two year,No,Credit card,27.97,1926.29,No
CUST-00151,Male,0,No,No,14,Yes,No phone service,No,Yes,No internet service,Yes,No,Yes,No,One year,Yes,Bank transfer,80.83,1155.6,No
CUST-00152,Male,0,No,Yes,50,Yes,Yes,Fiber optic,No,No,Yes,No internet service,Yes,No,Month-to-month,Yes,Credit card,62.34,3206.19,No
CUST-00153,Male,0,Yes,Yes,12,Yes,No,Fiber optic,No internet service,No internet service,No,Yes,Yes,Yes,Two year,Yes,Bank transfer,61.5,835.12,No
CUST-00154,Male,0,Yes,Yes,48,Yes,No phone service,No,No,No,No internet service,No internet service,No,No internet service,One year,Yes,Electronic check,71.73,3521.67,Yes
CUST-00155,Female,0,Yes,No,69,Yes,No phone service,Fiber optic,No,Yes,No,No,Yes,Yes,One year,Yes,Mailed check,54.86,3839.62,No
CUST-00156,Male,0,No,No,55,Yes,No phone service,DSL,Yes,No internet service,No,No internet service,No,Yes,Two year,No,Electronic check,81.86,4597.98,No
CUST-00157,Female,0,Yes,No,50,Yes,No,No,No internet service,No internet service,No,Yes,Yes,No,Month-to-month,No,Mailed check,21.12,1071.39,Yes
CUST-00158,Male,0,No,No,36,No,No phone service,DSL,No,No,Yes,Yes,No,Yes,One year,No,Credit card,116.93,4257.33,Yes
CUST-00159,Female,0,Yes,Yes,16,Yes,No,DSL,Yes,No internet service,No,No,No,No internet service,Month-to-month,Yes,Mailed check,112.32,1850.88,No
CUST-00160,Male,0,No,Yes,57,Yes,No phone service,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer,113.4,6512.99,No
CUST-00161,Male,1,Yes,No,28,Yes,No,No,No,No internet service,Yes,No,Yes,No internet service,Two year,Yes,Bank transfer,55.23,1626.68,No
CUST-00162,Female,0,No,Yes,32,Yes,No phone service,Fiber optic,Yes,No internet service,No,Yes,No,No,Month-to-month,No,Electronic check,72.25,2379.04,Yes
CUST-00163,Female,0,Yes,No,59,No,Yes,DSL,No,No,No,No internet service,No internet service,No internet service,One year,No,Mailed check,115.32,6816.55,No
CUST-00164,Female,0,Yes,No,54,Yes,Yes,DSL,No,No internet service,No internet service,No internet service,No internet service,Yes,Two year,Yes,Credit card,110.04,5976.81,No
CUST-00165,Male,0,Yes,Yes,9,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Two year,Yes,Credit card,98.6,921.31,Yes
CUST-00166,Female,0,No,No,46,Yes,Yes,Fiber optic,No internet service,No,No internet service,No internet service,No internet service,Yes,Two year,Yes,Bank transfer,59.55,2795.86,No
CUST-00167,Male,0,Yes,No,22,Yes,No phone service,Fiber optic,No,No internet service,No,No internet service,No internet service,No internet service,Month-to-month,No,Credit card,75.56,1691.47,Yes
CUST-00168,Male,0,No,Yes,20,Yes,Yes,No,Yes,Yes,No,No,No internet service,No,Month-to-month,Yes,Bank transfer,98.88,1989.33,No
CUST-00169,Female,0,No,No,12,Yes,No,Fiber optic,No internet service,No,No,No,Yes,No,Month-to-month,No,Bank transfer,45.85,615.57,Yes
CUST-00170,Female,0,Yes,No,32,Yes,Yes,No,Yes,No internet service,No,Yes,Yes,No,Month-to-month,No,Bank transfer,81.9,2705.9,No
